	
1	4	13	558	31882.015625	5.144978	15.672857	28	8	2024
2	3	8	218	35416.484375	1.249107	2.563283	27	2	2025     
3	14	20	507	45677.542969	5.267663	10.932131	14	2	2024  
4	10	17	200	64608.414062	5.987655	13.396627	27	2	2025  
5	1	28	556	48341.656250	5.722510	4.453258	5	4	2025     
6	9	17	360	31918.179688	5.352992	17.879850	28	4	2025   
7	4	9	173	36195.226562	6.387936	10.721391	3	5	2024     
8	15	38	125	75491.500000	1.911237	8.708131	22	1	2025   
9	15	20	899	74527.117188	1.591159	8.291511	17	6	2025   
10	14	13	184	5952.116699	1.184652	15.527708	20	2	2024  
11	12	21	592	64355.269531	4.072314	11.577102	16	3	2024 
12	12	29	254	70095.765625	5.624729	5.923575	18	3	2025  
13	4	32	715	39722.464844	4.501892	3.426890	16	3	2025   
14	6	28	217	39339.121094	3.464568	4.659746	22	2	2025   
15	11	4	24	23224.250000	2.596622	1.692389	18	12	2024   
16	14	33	1353	62906.277344	1.180990	1.008548	28	3	2024 
17	12	12	1343	17334.269531	0.725959	7.084160	17	3	2024 
18	12	7	164	5727.896973	5.386685	19.090845	22	8	2024   
19	4	34	1081	31014.068359	5.422391	12.337465	2	8	2025  
20	1	6	995	8982.696289	0.843150	1.052882	11	11	2024    
21	13	19	929	28226.996094	1.116169	4.746593	16	4	2025  
22	1	39	507	76132.820312	3.691992	4.642741	17	10	2024  
23	12	36	169	70934.781250	0.504395	12.817853	28	10	2024
24	4	11	724	43859.675781	4.677679	5.931470	3	1	2024
25	13	38	402	25054.169922	1.925886	9.158154	16	8	2024
26	9	15	580	3760.551758	1.859966	3.797354	28	7	2025
27	10	9	1396	3379.619873	4.766304	12.712179	11	7	2024
28	14	10	843	5156.499023	3.799295	13.324357	14	2	2025
29	10	14	641	15612.842773	3.954207	16.593552	13	3	2024
30	1	7	773	19928.464844	6.235404	12.649019	11	4	2025
31	9	3	263	7210.638672	4.804208	2.616727	17	4	2025
32	5	5	452	60386.824219	1.581454	4.190896	21	2	2025
33	14	13	1386	6738.090332	0.577639	14.005161	25	6	2024
34	3	34	37	50079.957031	2.900220	9.537727	8	9	2024
35	2	34	1145	45402.691406	5.886029	11.376687	11	4	2025
36	6	2	536	38782.191406	6.144582	15.029707	1	1	2024
37	2	1	329	42798.851562	4.231071	1.607364	21	4	2024
38	11	18	1361	2663.563965	2.104969	7.975704	1	11	2024
39	3	8	511	70881.742188	2.305475	10.524012	9	9	2025
40	12	11	1181	2624.988525	4.431944	15.219191	5	8	2025
41	6	25	694	20297.341797	3.899457	5.386098	20	9	2024
42	5	1	709	52001.496094	6.070604	16.329369	12	3	2025
43	9	35	1191	41781.425781	3.153462	3.616980	10	9	2025
44	8	39	1302	50923.796875	3.190817	14.183712	5	8	2025
45	9	36	1307	26621.294922	1.184835	4.297784	28	4	2024
46	8	11	613	33764.976562	4.973220	15.572649	17	8	2025
47	3	31	119	39937.039062	4.569826	11.290448	26	1	2024
48	7	20	141	73873.742188	3.166463	17.169897	7	1	2025
49	9	39	987	15463.362305	5.510285	5.360591	26	3	2025
50	2	19	971	34273.687500	0.927564	16.685863	19	4	2025
51	8	2	286	35879.390625	0.539003	11.105216	8	4	2024
52	2	1	207	58021.671875	3.823832	15.576293	23	5	2025
53	14	21	1381	40964.109375	4.021042	12.282805	18	7	2024
54	9	3	770	28234.230469	2.775704	10.503364	10	8	2024
55	4	22	643	68128.421875	1.291223	0.726145	25	3	2025
56	10	7	519	1499.069214	0.909986	8.723921	25	2	2025
57	5	29	370	21080.904297	2.750435	1.444603	12	7	2024
58	8	8	347	14089.113281	3.499176	10.880507	22	6	2024
59	14	25	92	64020.140625	1.369778	4.702866	7	1	2025
60	11	8	111	39271.613281	2.167409	4.217011	28	4	2025
61	14	23	346	15251.197266	4.607547	9.071915	17	6	2025
62	2	20	535	2622.577637	3.063372	4.001413	12	6	2025
63	11	39	257	69939.054688	4.431211	14.279061	28	8	2025
64	12	10	1314	74768.210938	5.513764	13.672350	5	8	2025
65	4	32	317	65823.546875	2.752449	5.616272	28	4	2025
66	8	13	301	43992.281250	4.509399	4.685861	10	3	2024
67	15	4	819	39126.957031	4.836436	18.815123	15	11	2024
68	1	37	686	70852.812500	0.997330	10.865325	5	9	2024
69	9	7	425	35348.980469	4.920850	19.388430	12	4	2025
70	11	6	157	43840.390625	4.103259	12.609544	4	7	2024
71	3	27	1135	23940.304688	3.099262	18.749533	2	10	2024
72	4	3	1162	59487.531250	0.844066	8.388681	15	3	2025
73	10	40	1391	69237.460938	5.260338	6.349913	16	6	2025
74	4	21	1141	27629.078125	5.356471	9.612427	18	5	2024
75	6	11	1223	78777.640625	3.251427	19.471025	7	8	2025
76	9	39	563	75038.242188	2.905530	0.946602	11	8	2024
77	14	8	131	61794.824219	3.240623	7.720023	9	11	2024
